year,start_date,end_date,jurisdiction,location,age_group,best_detection_method,detection_method,amphetamine,cannabis,cocaine,ecstasy,methylamphetamine,other,unknown,no_drugs_detected,positive_drug_tests,fines,arrests,charges,month,month_name,is_all_locations,is_unknown_location,is_all_ages,is_unknown_age,substance_combo,pre_2023,total_outcomes
2008,2008-01-01,2008-12-31,NSW,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,542,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2008,2008-01-01,2008-12-31,QLD,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,216,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2008,2008-01-01,2008-12-31,SA,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,600,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2008,2008-01-01,2008-12-31,TAS,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,211,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2008,2008-01-01,2008-12-31,VIC,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,438,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2008,2008-01-01,2008-12-31,WA,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,406,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2009,2009-01-01,2009-12-31,NSW,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,613,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2009,2009-01-01,2009-12-31,QLD,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,254,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2009,2009-01-01,2009-12-31,SA,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,1179,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2009,2009-01-01,2009-12-31,TAS,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,252,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2009,2009-01-01,2009-12-31,VIC,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,323,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2009,2009-01-01,2009-12-31,WA,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,289,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2010,2010-01-01,2010-12-31,NSW,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,735,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2010,2010-01-01,2010-12-31,QLD,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,440,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2010,2010-01-01,2010-12-31,SA,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,1699,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2010,2010-01-01,2010-12-31,VIC,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,741,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2010,2010-01-01,2010-12-31,WA,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,418,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2011,2011-01-01,2011-12-31,NSW,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,666,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2011,2011-01-01,2011-12-31,QLD,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,825,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2011,2011-01-01,2011-12-31,SA,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,2320,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2011,2011-01-01,2011-12-31,TAS,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,573,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2011,2011-01-01,2011-12-31,VIC,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,760,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2011,2011-01-01,2011-12-31,WA,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,460,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2012,2012-01-01,2012-12-31,ACT,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,37,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2012,2012-01-01,2012-12-31,NSW,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,705,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2012,2012-01-01,2012-12-31,QLD,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,937,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2012,2012-01-01,2012-12-31,SA,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,3237,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2012,2012-01-01,2012-12-31,TAS,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,523,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2012,2012-01-01,2012-12-31,VIC,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,2180,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2012,2012-01-01,2012-12-31,WA,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,623,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2013,2013-01-01,2013-12-31,ACT,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,116,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2013,2013-01-01,2013-12-31,NSW,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,898,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2013,2013-01-01,2013-12-31,NT,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,84,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2013,2013-01-01,2013-12-31,QLD,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,1300,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2013,2013-01-01,2013-12-31,SA,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,3737,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2013,2013-01-01,2013-12-31,TAS,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,639,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2013,2013-01-01,2013-12-31,VIC,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,2540,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2013,2013-01-01,2013-12-31,WA,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,539,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
2014,2014-01-01,2014-12-31,ACT,All regions,All ages,True,Indicator (Stage 1),False,False,False,False,False,False,True,False,392,0,0,0,1,Jan,True,False,True,False,Unknown,True,0
